epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5545.37,0.58512,0.34782,0.89909,0.86142,0.94039,0.92098,0.77961,0.70326,0.48487,0.99927,0.0008912,0.0008912,0.0008912
58,5645.59,0.58414,0.34842,0.89594,0.85953,0.92584,0.9056,0.76585,0.73933,0.51046,1.0264,0.0008714,0.0008714,0.0008714
59,5741.7,0.58402,0.34299,0.8971,0.89438,0.94438,0.94275,0.80878,0.66254,0.41828,0.96365,0.0008516,0.0008516,0.0008516
60,5836.75,0.58481,0.34214,0.89706,0.85826,0.93436,0.90382,0.76754,0.71856,0.50081,1.02271,0.0008318,0.0008318,0.0008318
61,5936.31,0.58097,0.34115,0.8967,0.90456,0.95131,0.94567,0.80605,0.65634,0.40161,0.95632,0.000812,0.000812,0.000812
62,6035.85,0.58168,0.34399,0.8962,0.85512,0.93068,0.91035,0.76797,0.73508,0.51841,1.03913,0.0007922,0.0007922,0.0007922
63,6137.48,0.57766,0.33728,0.89388,0.89708,0.94295,0.94102,0.81149,0.65222,0.40618,0.96055,0.0007724,0.0007724,0.0007724
64,6234.77,0.57455,0.33825,0.89288,0.89792,0.94192,0.94324,0.81127,0.65864,0.41306,0.96165,0.0007526,0.0007526,0.0007526
65,6331.38,0.57757,0.33577,0.89467,0.89457,0.94407,0.94187,0.80569,0.67789,0.42217,0.97713,0.0007328,0.0007328,0.0007328
66,6428.69,0.57546,0.33485,0.89079,0.86729,0.93717,0.92078,0.77821,0.73072,0.48632,1.02343,0.000713,0.000713,0.000713
67,6531.21,0.57148,0.33274,0.89167,0.89357,0.94429,0.94061,0.80602,0.66373,0.42144,0.97286,0.0006932,0.0006932,0.0006932
68,6632.51,0.57102,0.33326,0.89384,0.85239,0.92647,0.89737,0.75513,0.76741,0.54289,1.06885,0.0006734,0.0006734,0.0006734
69,6732.03,0.57015,0.33297,0.89152,0.90501,0.94591,0.9448,0.81454,0.65758,0.39897,0.96042,0.0006536,0.0006536,0.0006536
70,6831.72,0.56898,0.32864,0.8918,0.94317,0.95924,0.97493,0.85076,0.60213,0.34116,0.91721,0.0006338,0.0006338,0.0006338
71,6931.26,0.57026,0.3295,0.89089,0.87969,0.94784,0.93948,0.80292,0.6786,0.42872,0.9864,0.000614,0.000614,0.000614
72,7028.4,0.56639,0.32686,0.89116,0.88407,0.93952,0.93262,0.79082,0.70522,0.45383,1.00897,0.0005942,0.0005942,0.0005942
73,7128.22,0.56808,0.32891,0.89023,0.87036,0.94027,0.92389,0.78162,0.70634,0.46967,1.01103,0.0005744,0.0005744,0.0005744
74,7226.07,0.56492,0.32361,0.89082,0.86046,0.94203,0.91583,0.77229,0.72327,0.49201,1.02281,0.0005546,0.0005546,0.0005546
75,7323.34,0.56284,0.32092,0.88918,0.86661,0.93656,0.91281,0.7694,0.73038,0.49337,1.03049,0.0005348,0.0005348,0.0005348
76,7422.38,0.55731,0.32105,0.88904,0.88246,0.93457,0.92858,0.79546,0.68477,0.44324,0.9932,0.000515,0.000515,0.000515
77,7520.15,0.56239,0.32104,0.88913,0.8614,0.93059,0.91549,0.77523,0.72348,0.48916,1.02799,0.0004952,0.0004952,0.0004952
78,7618.07,0.55413,0.3183,0.88625,0.91659,0.95893,0.95843,0.83338,0.62726,0.37003,0.93855,0.0004754,0.0004754,0.0004754
79,7717.83,0.55274,0.31691,0.88841,0.87879,0.94542,0.9325,0.79808,0.68012,0.45221,0.98786,0.0004556,0.0004556,0.0004556
80,7816.7,0.5544,0.31915,0.88897,0.89387,0.94597,0.9363,0.80692,0.65642,0.41573,0.96529,0.0004358,0.0004358,0.0004358
81,7914.39,0.55595,0.31712,0.88585,0.86519,0.9323,0.91164,0.77286,0.71804,0.48639,1.02515,0.000416,0.000416,0.000416
82,8017.57,0.55454,0.31216,0.8849,0.88542,0.93871,0.92734,0.79088,0.69224,0.44186,0.99723,0.0003962,0.0003962,0.0003962
83,8118.78,0.54835,0.31201,0.88475,0.8557,0.93105,0.90358,0.76267,0.75498,0.51815,1.0594,0.0003764,0.0003764,0.0003764
84,8220.74,0.55213,0.31179,0.88389,0.89059,0.94192,0.93579,0.79849,0.67591,0.43238,0.98191,0.0003566,0.0003566,0.0003566
85,8321.56,0.54832,0.31183,0.88401,0.87937,0.93828,0.92911,0.79596,0.68828,0.45029,0.99469,0.0003368,0.0003368,0.0003368
86,8435.41,0.54843,0.30846,0.88361,0.86183,0.93319,0.91363,0.77723,0.72406,0.48455,1.02473,0.000317,0.000317,0.000317
87,8539.31,0.54922,0.3121,0.88386,0.87492,0.93196,0.92277,0.78816,0.70025,0.46283,1.00131,0.0002972,0.0002972,0.0002972
88,8647.05,0.54326,0.30535,0.88279,0.86233,0.93198,0.91006,0.77093,0.73047,0.50023,1.0323,0.0002774,0.0002774,0.0002774
89,8748.09,0.54415,0.30628,0.8831,0.88136,0.94143,0.9273,0.79261,0.68692,0.45441,0.99581,0.0002576,0.0002576,0.0002576
90,8848.23,0.542,0.30483,0.88249,0.87543,0.94315,0.92603,0.79431,0.68639,0.4475,0.9939,0.0002378,0.0002378,0.0002378
91,8977.45,0.57542,0.30804,0.88323,0.9711,0.96801,0.99078,0.87253,0.58021,0.29341,0.9025,0.000218,0.000218,0.000218
92,9075.23,0.56238,0.28753,0.87648,0.97033,0.96751,0.99092,0.87457,0.57993,0.29112,0.90236,0.0001982,0.0001982,0.0001982
93,9176.92,0.56165,0.28808,0.87543,0.97099,0.96568,0.99069,0.87379,0.58326,0.29365,0.90354,0.0001784,0.0001784,0.0001784
94,9278.85,0.55634,0.28475,0.87424,0.97051,0.9646,0.9908,0.8729,0.58835,0.29451,0.90488,0.0001586,0.0001586,0.0001586
95,9378.45,0.55638,0.28358,0.8765,0.97165,0.96646,0.9911,0.87466,0.5812,0.29134,0.90281,0.0001388,0.0001388,0.0001388
96,9474.48,0.55258,0.2823,0.87289,0.9728,0.96451,0.99098,0.87603,0.58263,0.29158,0.9025,0.000119,0.000119,0.000119
97,9570.61,0.55224,0.28048,0.87541,0.97384,0.96415,0.99108,0.87539,0.58499,0.29319,0.90292,9.92e-05,9.92e-05,9.92e-05
98,9671.24,0.5487,0.27872,0.87202,0.97515,0.96229,0.99111,0.8739,0.58992,0.29499,0.90344,7.94e-05,7.94e-05,7.94e-05
99,9774.56,0.54601,0.27544,0.87177,0.97637,0.95924,0.99104,0.87467,0.58799,0.2936,0.90281,5.96e-05,5.96e-05,5.96e-05
100,9875.55,0.54295,0.27423,0.87131,0.97653,0.96093,0.99112,0.87452,0.58938,0.29411,0.90295,3.98e-05,3.98e-05,3.98e-05
